speaker,Encounter With,season,Shared Episodes
Jan,Roy,2,7
Jan,Roy,3,9
Roy,Jan,1,2
Roy,Jan,2,7
Roy,Jan,3,9
Jan,Ryan,1,3
Jan,Ryan,2,11
Jan,Ryan,3,16
Jan,Ryan,4,6
Jan,Ryan,5,1
Jan,Ryan,7,2
Ryan,Jan,1,3
Ryan,Jan,2,11
Ryan,Jan,3,16
Ryan,Jan,4,6
Ryan,Jan,5,1
Ryan,Jan,7,2
Jan,Stanley,1,3
Jan,Stanley,2,10
Jan,Stanley,3,16
Jan,Stanley,4,7
Jan,Stanley,5,2
Jan,Stanley,7,1
Jan,Stanley,9,1
Stanley,Jan,1,3
Stanley,Jan,2,10
Stanley,Jan,3,16
Stanley,Jan,4,7
Stanley,Jan,5,2
Stanley,Jan,7,1
Stanley,Jan,9,1
Jan,Todd Packer,1,1
Jan,Todd Packer,2,1
Todd Packer,Jan,1,1
Todd Packer,Jan,2,1
Jim,Kevin,1,6
Jim,Kevin,2,21
Jim,Kevin,3,23
Jim,Kevin,4,13
Jim,Kevin,5,25
Jim,Kevin,6,22
Jim,Kevin,7,22
Jim,Kevin,8,24
Jim,Kevin,9,23
Kevin,Jim,1,6
Kevin,Jim,2,21
Kevin,Jim,3,23
Kevin,Jim,4,13
Kevin,Jim,5,25
Kevin,Jim,6,22
Kevin,Jim,7,22
Kevin,Jim,8,24
Kevin,Jim,9,23
Jim,Man,1,1
Jim,Man,2,2
Jim,Man,3,4
Jim,Man,4,2
Jim,Man,5,3
Jim,Man,7,2
Jim,Man,8,2
Jim,Man,9,2
Man,Jim,1,1
Man,Jim,2,2
Man,Jim,3,4
Man,Jim,4,2
Man,Jim,5,3
Man,Jim,7,2
Man,Jim,8,2
Man,Jim,9,2
Jim,Michael,1,6
Jim,Michael,2,22
Jim,Michael,3,23
Jim,Michael,4,14
Jim,Michael,5,26
Jim,Michael,6,23
Jim,Michael,7,21
Jim,Michael,9,1
Michael,Jim,1,6
Michael,Jim,2,22
Michael,Jim,3,23
Michael,Jim,4,14
Michael,Jim,5,26
Michael,Jim,6,23
Michael,Jim,7,21
Michael,Jim,9,1
Jim,Michel,1,1
Jim,Michel,5,1
Jim,Michel,6,2
Jim,Michel,7,1
Michel,Jim,1,1
Michel,Jim,5,1
Michel,Jim,6,2
Michel,Jim,7,1
Jim,Oscar,1,6
Jim,Oscar,2,21
Jim,Oscar,3,10
Jim,Oscar,4,13
Jim,Oscar,5,23
Jim,Oscar,6,23
Jim,Oscar,7,23
Jim,Oscar,8,24
Jim,Oscar,9,23
Oscar,Jim,1,6
Oscar,Jim,2,21
Oscar,Jim,3,10
Oscar,Jim,4,13
Oscar,Jim,5,23
Oscar,Jim,6,23
Oscar,Jim,7,23
Oscar,Jim,8,24
Oscar,Jim,9,23
Jim,Pam,1,6
Jim,Pam,2,22
Jim,Pam,3,23
Jim,Pam,4,14
Jim,Pam,5,26
Jim,Pam,6,23
Jim,Pam,7,24
Jim,Pam,8,20
Jim,Pam,9,23
Pam,Jim,1,6
Pam,Jim,2,22
Pam,Jim,3,23
Pam,Jim,4,14
Pam,Jim,5,26
Pam,Jim,6,23
Pam,Jim,7,24
Pam,Jim,8,20
Pam,Jim,9,23
Jim,Phyllis,1,3
Jim,Phyllis,2,20
Jim,Phyllis,3,20
Jim,Phyllis,4,14
Jim,Phyllis,5,25
Jim,Phyllis,6,22
Jim,Phyllis,7,23
Jim,Phyllis,8,23
Jim,Phyllis,9,19
Phyllis,Jim,1,3
Phyllis,Jim,2,20
Phyllis,Jim,3,20
Phyllis,Jim,4,14
Phyllis,Jim,5,25
Phyllis,Jim,6,22
Phyllis,Jim,7,23
Phyllis,Jim,8,23
Phyllis,Jim,9,19
Jim,Roy,1,4
Jim,Roy,2,12
Jim,Roy,3,12
Jim,Roy,5,1
Jim,Roy,9,1
Roy,Jim,1,4
Roy,Jim,2,12
Roy,Jim,3,12
Roy,Jim,5,1
Roy,Jim,9,1
Jim,Ryan,1,6
Jim,Ryan,2,22
Jim,Ryan,3,22
Jim,Ryan,4,9
Jim,Ryan,5,12
Jim,Ryan,6,22
Jim,Ryan,7,23
Jim,Ryan,8,22
Jim,Ryan,9,2
Ryan,Jim,1,6
Ryan,Jim,2,22
Ryan,Jim,3,22
Ryan,Jim,4,9
Ryan,Jim,5,12
Ryan,Jim,6,22
Ryan,Jim,7,23
Ryan,Jim,8,22
Ryan,Jim,9,2
Jim,Stanley,1,6
Jim,Stanley,2,21
Jim,Stanley,3,23
Jim,Stanley,4,13
Jim,Stanley,5,25
Jim,Stanley,6,20
Jim,Stanley,7,21
Jim,Stanley,8,22
Jim,Stanley,9,20
Stanley,Jim,1,6
Stanley,Jim,2,21
Stanley,Jim,3,23
Stanley,Jim,4,13
Stanley,Jim,5,25
Stanley,Jim,6,20
Stanley,Jim,7,21
Stanley,Jim,8,22
Stanley,Jim,9,20
Jim,Todd Packer,1,2
Jim,Todd Packer,2,3
Jim,Todd Packer,6,2
Jim,Todd Packer,7,1
Jim,Todd Packer,8,2
Jim,Todd Packer,9,1
Todd Packer,Jim,1,2
Todd Packer,Jim,2,3
Todd Packer,Jim,6,2
Todd Packer,Jim,7,1
Todd Packer,Jim,8,2
Todd Packer,Jim,9,1
Kevin,Man,1,1
Kevin,Man,2,2
Kevin,Man,3,4
Kevin,Man,4,2
Kevin,Man,5,3
Kevin,Man,7,2
Kevin,Man,8,2
Kevin,Man,9,2
Man,Kevin,1,1
Man,Kevin,2,2
Man,Kevin,3,4
Man,Kevin,4,2
Man,Kevin,5,3
Man,Kevin,7,2
Man,Kevin,8,2
Man,Kevin,9,2
Kevin,Michael,1,6
Kevin,Michael,2,21
Kevin,Michael,3,23
Kevin,Michael,4,13
Kevin,Michael,5,25
Kevin,Michael,6,23
Kevin,Michael,7,19
Kevin,Michael,9,1
Michael,Kevin,1,6
Michael,Kevin,2,21
Michael,Kevin,3,23
Michael,Kevin,4,13
Michael,Kevin,5,25
Michael,Kevin,6,23
Michael,Kevin,7,19
Michael,Kevin,9,1
Kevin,Michel,1,1
Kevin,Michel,5,1
Kevin,Michel,6,2
Kevin,Michel,7,1
Michel,Kevin,1,1
Michel,Kevin,5,1
Michel,Kevin,6,2
Michel,Kevin,7,1
Kevin,Oscar,1,6
Kevin,Oscar,2,20
Kevin,Oscar,3,10
Kevin,Oscar,4,13
Kevin,Oscar,5,22
Kevin,Oscar,6,22
Kevin,Oscar,7,21
Kevin,Oscar,8,24
Kevin,Oscar,9,23
Oscar,Kevin,1,6
Oscar,Kevin,2,20
Oscar,Kevin,3,10
Oscar,Kevin,4,13
Oscar,Kevin,5,22
Oscar,Kevin,6,22
Oscar,Kevin,7,21
Oscar,Kevin,8,24
Oscar,Kevin,9,23
Kevin,Pam,1,6
Kevin,Pam,2,21
Kevin,Pam,3,23
Kevin,Pam,4,13
Kevin,Pam,5,25
Kevin,Pam,6,23
Kevin,Pam,7,22
Kevin,Pam,8,20
Kevin,Pam,9,23
Pam,Kevin,1,6
Pam,Kevin,2,21
Pam,Kevin,3,23
Pam,Kevin,4,13
Pam,Kevin,5,25
Pam,Kevin,6,23
Pam,Kevin,7,22
Pam,Kevin,8,20
Pam,Kevin,9,23
Kevin,Phyllis,1,3
Kevin,Phyllis,2,19
Kevin,Phyllis,3,20
Kevin,Phyllis,4,13
Kevin,Phyllis,5,24
Kevin,Phyllis,6,22
Kevin,Phyllis,7,21
Kevin,Phyllis,8,23
Kevin,Phyllis,9,19
Phyllis,Kevin,1,3
Phyllis,Kevin,2,19
Phyllis,Kevin,3,20
Phyllis,Kevin,4,13
Phyllis,Kevin,5,24
Phyllis,Kevin,6,22
Phyllis,Kevin,7,21
Phyllis,Kevin,8,23
Phyllis,Kevin,9,19
Kevin,Roy,1,4
Kevin,Roy,2,11
Kevin,Roy,3,12
Kevin,Roy,5,1
Kevin,Roy,9,1
Roy,Kevin,1,4
Roy,Kevin,2,11
Roy,Kevin,3,12
Roy,Kevin,5,1
Roy,Kevin,9,1
Kevin,Ryan,1,6
Kevin,Ryan,2,21
Kevin,Ryan,3,22
Kevin,Ryan,4,9
Kevin,Ryan,5,12
Kevin,Ryan,6,22
Kevin,Ryan,7,22
Kevin,Ryan,8,22
Kevin,Ryan,9,2
Ryan,Kevin,1,6
Ryan,Kevin,2,21
Ryan,Kevin,3,22
Ryan,Kevin,4,9
Ryan,Kevin,5,12
Ryan,Kevin,6,22
Ryan,Kevin,7,22
Ryan,Kevin,8,22
Ryan,Kevin,9,2
Kevin,Stanley,1,6
Kevin,Stanley,2,20
Kevin,Stanley,3,23
Kevin,Stanley,4,12
Kevin,Stanley,5,24
Kevin,Stanley,6,19
Kevin,Stanley,7,19
Kevin,Stanley,8,22
Kevin,Stanley,9,20
Stanley,Kevin,1,6
Stanley,Kevin,2,20
Stanley,Kevin,3,23
Stanley,Kevin,4,12
Stanley,Kevin,5,24
Stanley,Kevin,6,19
Stanley,Kevin,7,19
Stanley,Kevin,8,22
Stanley,Kevin,9,20
Kevin,Todd Packer,1,2
Kevin,Todd Packer,2,3
Kevin,Todd Packer,6,2
Kevin,Todd Packer,7,1
Kevin,Todd Packer,8,2
Kevin,Todd Packer,9,1
Todd Packer,Kevin,1,2
Todd Packer,Kevin,2,3
Todd Packer,Kevin,6,2
Todd Packer,Kevin,7,1
Todd Packer,Kevin,8,2
Todd Packer,Kevin,9,1
Man,Michael,1,1
Man,Michael,2,2
Man,Michael,3,4
Man,Michael,4,2
Man,Michael,5,3
Man,Michael,7,2
Man,Michael,9,1
Michael,Man,1,1
Michael,Man,2,2
Michael,Man,3,4
Michael,Man,4,2
Michael,Man,5,3
Michael,Man,7,2
Michael,Man,9,1
Man,Michel,1,1
Michel,Man,1,1
Man,Oscar,1,1
Man,Oscar,2,2
Man,Oscar,3,2
Man,Oscar,4,2
Man,Oscar,5,3
Man,Oscar,7,2
Man,Oscar,8,2
Man,Oscar,9,2
Oscar,Man,1,1
Oscar,Man,2,2
Oscar,Man,3,2
Oscar,Man,4,2
Oscar,Man,5,3
Oscar,Man,7,2
Oscar,Man,8,2
Oscar,Man,9,2
Man,Pam,1,1
Man,Pam,2,2
Man,Pam,3,4
Man,Pam,4,2
Man,Pam,5,3
Man,Pam,7,2
Man,Pam,8,2
Man,Pam,9,2
Pam,Man,1,1
Pam,Man,2,2
Pam,Man,3,4
Pam,Man,4,2
Pam,Man,5,3
Pam,Man,7,2
Pam,Man,8,2
Pam,Man,9,2
Man,Phyllis,1,1
Man,Phyllis,2,2
Man,Phyllis,3,3
Man,Phyllis,4,2
Man,Phyllis,5,3
Man,Phyllis,7,2
Man,Phyllis,8,2
Man,Phyllis,9,2
Phyllis,Man,1,1
Phyllis,Man,2,2
Phyllis,Man,3,3
Phyllis,Man,4,2
Phyllis,Man,5,3
Phyllis,Man,7,2
Phyllis,Man,8,2
Phyllis,Man,9,2
Man,Roy,1,1
Man,Roy,3,3
Roy,Man,1,1
Roy,Man,3,3
Man,Ryan,1,1
Man,Ryan,2,2
Man,Ryan,3,4
Man,Ryan,4,2
Man,Ryan,5,1
Man,Ryan,7,2
Man,Ryan,8,2
Man,Ryan,9,1
Ryan,Man,1,1
Ryan,Man,2,2
Ryan,Man,3,4
Ryan,Man,4,2
Ryan,Man,5,1
Ryan,Man,7,2
Ryan,Man,8,2
Ryan,Man,9,1
Man,Stanley,1,1
Man,Stanley,2,2
Man,Stanley,3,4
Man,Stanley,4,2
Man,Stanley,5,3
Man,Stanley,7,1
Man,Stanley,8,2
Man,Stanley,9,2
Stanley,Man,1,1
Stanley,Man,2,2
Stanley,Man,3,4
Stanley,Man,4,2
Stanley,Man,5,3
Stanley,Man,7,1
Stanley,Man,8,2
Stanley,Man,9,2
Man,Todd Packer,1,1
Man,Todd Packer,8,1
Todd Packer,Man,1,1
Todd Packer,Man,8,1
Michael,Michel,1,1
Michael,Michel,5,1
Michael,Michel,6,2
Michael,Michel,7,1
Michel,Michael,1,1
Michel,Michael,5,1
Michel,Michael,6,2
Michel,Michael,7,1
Michael,Oscar,1,6
Michael,Oscar,2,21
Michael,Oscar,3,10
Michael,Oscar,4,13
Michael,Oscar,5,23
Michael,Oscar,6,23
Michael,Oscar,7,20
Michael,Oscar,9,1
Oscar,Michael,1,6
Oscar,Michael,2,21
Oscar,Michael,3,10
Oscar,Michael,4,13
Oscar,Michael,5,23
Oscar,Michael,6,23
Oscar,Michael,7,20
Oscar,Michael,9,1
Michael,Pam,1,6
Michael,Pam,2,22
Michael,Pam,3,23
Michael,Pam,4,14
Michael,Pam,5,26
Michael,Pam,6,24
Michael,Pam,7,21
Michael,Pam,9,1
Pam,Michael,1,6
Pam,Michael,2,22
Pam,Michael,3,23
Pam,Michael,4,14
Pam,Michael,5,26
Pam,Michael,6,24
Pam,Michael,7,21
Pam,Michael,9,1
Michael,Phyllis,1,3
Michael,Phyllis,2,20
Michael,Phyllis,3,20
Michael,Phyllis,4,14
Michael,Phyllis,5,25
Michael,Phyllis,6,22
Michael,Phyllis,7,20
Michael,Phyllis,9,1
Phyllis,Michael,1,3
Phyllis,Michael,2,20
Phyllis,Michael,3,20
Phyllis,Michael,4,14
Phyllis,Michael,5,25
